country,demographic,coefficient,intercept,test_size,r_squared,latitude,longitude
Cambodia,Male 5-17,-0.7803030303030305,1597.424242424243,0.1782,0.4522008808624933,13.5066394,104.869423
Cambodia,Male 18-59,-11.599869167030091,23424.875708678588,0.213,0.6037619026830824,13.5066394,104.869423
Cambodia,Male 60+,-0.07374856706152083,151.11387084447838,0.07959999999999999,0.5914147948607529,13.5066394,104.869423
Cameroon,Female 0-4,2259.543058823529,-4528307.231999998,0.06799999999999999,0.993340792443848,4.6125522,13.1535811
Cameroon,Female 5-17,5496.166967065376,-11013708.447157133,0.06509999999999999,0.9898302251755788,4.6125522,13.1535811
Cameroon,Female 18-59,5691.4298197706175,-11404119.294101588,0.0941,0.9796040983842244,4.6125522,13.1535811
Cameroon,Female 60+,446.5528662420382,-895047.6050955412,0.2391,0.9622078850550708,4.6125522,13.1535811
Cameroon,Male 0-4,2286.5015974440907,-4582469.376996807,0.1492,0.981722814892504,4.6125522,13.1535811
Cameroon,Male 5-17,5498.171683710212,-11018181.509145904,0.1057,0.986082366817774,4.6125522,13.1535811
Cameroon,Male 18-59,4301.471846846847,-8617374.98873874,0.06509999999999999,0.9675334157515406,4.6125522,13.1535811
Cameroon,Male 60+,527.7548711502201,-1057773.6942174735,0.07669999999999999,0.9854029045575072,4.6125522,13.1535811
Canada,Female 0-4,-64.92968749999999,132207.52343749994,0.2101,0.4176762980707631,61.0666922,-107.9917071
Canada,Female 5-17,-113.51666666666668,232476.8166666667,0.126,0.13164746429062846,61.0666922,-107.9917071
Canada,Female 18-59,-1324.0315315315315,2678553.3873873875,0.1173,0.9311064752436587,61.0666922,-107.9917071
Canada,Female 60+,-85.88461538461534,173917.75824175822,0.242,0.30235074938328066,61.0666922,-107.9917071
Canada,Male 0-4,-101.80370370370373,206541.83333333337,0.1434,0.5305816345962101,61.0666922,-107.9917071
Canada,Male 5-17,-116.30997876857748,238174.5859872611,0.1028,0.4347505601649948,61.0666922,-107.9917071
Canada,Male 18-59,-1841.8079710144928,3724854.913043479,0.2304,0.9631319993497952,61.0666922,-107.9917071
Canada,Male 60+,-18.03333333333333,36941.688888888886,0.01,0.0,61.0666922,-107.9917071
Cayman Islands,Female 0-4,0.0,0.0,0.01,1.0,19.5417212,-80.5667132
